x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
a,7.21,-6.38,-4.81,33.37,7.65,5,27,4.48,1.58,764,0.29,6.87,16.24,1.61,26.00
ag,4.05,-4.45,-2.13,24.17,3.89,6,18,3.52,1.14,273,0.23,0.00,14.74,1.15,31.64
al,7.51,-3.58,-1.92,41.85,7.76,6,30,4.53,1.62,317,0.29,5.45,14.06,1.66,25.15
au,3.09,-2.84,-1.42,16.61,3.37,5,19,2.66,1.16,490,0.17,1.57,10.35,1.16,29.40
b,-3.05,-54.26,-32.42,26.92,-2.82,6,29,7.18,-0.40,1,0.46,-0.77,8.52,-0.43,23.49
bu,1.88,-6.75,-5.09,15.86,1.87,4,28,4.32,0.45,184,0.28,0.00,7.91,0.44,22.46
c,2.90,-6.87,-6.81,12.34,3.06,5,21,3.28,0.89,583,0.21,2.68,8.64,0.88,25.70
cf,5.77,-5.73,-5.26,30.74,6.24,6,22,4.36,1.31,346,0.28,4.61,16.33,1.32,23.93
cs,-0.00,-5.63,-4.98,6.46,0.14,3,19,1.54,0.01,464,0.10,0.00,0.62,-0.00,27.38
cu,13.14,-5.47,-3.62,47.28,13.04,5,23,5.91,2.12,485,0.38,8.71,31.59,2.22,28.70
fg,2.15,-7.96,-4.20,25.79,2.42,5,15,3.80,0.58,495,0.24,0.00,9.99,0.57,26.84
fu,0.09,-53.80,-34.20,26.19,0.53,5,23,12.53,0.07,522,0.80,3.95,15.52,0.01,24.85
hc,4.70,-6.74,-1.34,38.14,5.48,4,17,4.29,1.09,97,0.27,0.00,23.39,1.10,27.85
i,5.35,-9.15,-5.71,50.16,5.72,5,14,5.80,0.93,160,0.37,0.00,24.04,0.92,26.60
j,6.50,-10.07,-0.46,32.31,7.18,4,44,6.01,1.08,168,0.39,2.58,21.99,1.08,24.94
jd,1.34,-15.61,-10.65,28.72,1.06,5,17,3.62,0.39,843,0.23,0.00,6.53,0.37,25.28
jm,4.31,-7.98,-2.56,37.10,4.76,6,21,5.59,0.78,140,0.36,0.00,18.49,0.77,25.83
l,5.05,-13.43,-7.76,24.35,5.59,5,20,5.20,0.97,1010,0.33,3.65,16.91,0.97,24.60
m,5.69,-14.40,-7.81,28.02,5.89,7,34,4.73,1.20,1336,0.30,5.27,15.07,1.20,25.97
ma,9.51,-4.64,-1.00,150.61,11.71,5,15,26.78,0.42,95,1.71,0.00,18.54,0.36,27.90
ni,1.32,-7.89,-2.89,13.59,1.22,4,15,2.95,0.46,81,0.19,0.00,6.64,0.45,27.71
oi,2.20,-3.14,-2.80,13.36,2.03,5,22,2.79,0.79,225,0.18,0.00,7.16,0.79,26.36
p,7.82,-7.75,-2.14,27.45,7.64,8,39,5.01,1.53,214,0.32,5.62,18.33,1.56,28.07
pb,3.35,-4.40,-0.16,15.72,3.28,4,22,3.54,0.95,136,0.23,0.93,10.71,0.95,22.65
pp,2.45,-3.65,-0.37,17.67,2.43,10,17,3.34,0.74,163,0.21,0.00,9.95,0.73,28.04
rb,8.63,-4.94,-0.11,29.57,9.38,4,25,5.13,1.64,158,0.33,8.62,22.67,1.68,25.35
rm,2.69,-6.56,-3.00,14.96,2.66,5,16,3.32,0.82,251,0.21,0.00,9.20,0.81,29.70
ro,1.30,-3.47,-2.54,12.40,1.45,5,16,1.80,0.73,163,0.12,0.00,7.74,0.73,28.20
ru,14.20,-10.96,-10.24,43.17,14.20,7,22,9.02,1.52,399,0.58,13.38,32.23,1.57,25.45
sf,2.01,-4.91,-4.91,22.44,2.30,4,19,3.41,0.60,138,0.22,0.00,12.26,0.59,31.40
sm,1.40,-7.93,-5.55,12.19,0.83,5,17,3.26,0.44,550,0.21,0.00,4.28,0.43,28.06
sn,1.23,-3.87,-0.38,11.72,1.16,7,14,1.77,0.70,205,0.11,0.00,5.14,0.70,32.26
sr,5.86,-6.97,-3.93,25.07,6.16,5,22,3.95,1.46,804,0.25,4.36,17.58,1.48,28.40
ta,7.54,-6.15,-5.01,42.35,7.92,5,21,5.16,1.44,406,0.33,5.73,21.84,1.46,25.56
v,3.12,-8.54,-5.70,24.80,3.08,4,19,4.30,0.74,519,0.28,0.17,10.31,0.73,26.01
wh,0.55,-8.11,-6.54,13.62,0.55,5,23,2.55,0.23,259,0.16,0.00,3.99,0.22,25.42
ws,1.53,-8.00,-6.06,14.76,1.73,5,21,2.32,0.67,521,0.15,0.00,8.68,0.66,27.41
wt,-0.69,-10.96,-10.46,5.12,-0.72,4,26,2.28,-0.29,1,0.15,0.00,0.89,-0.30,21.02
y,8.19,-4.33,-1.57,42.85,8.99,6,21,4.70,1.70,169,0.30,7.18,15.95,1.74,26.71
zc,0.75,-4.06,-3.66,10.02,0.74,7,18,1.91,0.40,144,0.12,0.00,4.21,0.39,30.45
zn,6.89,-4.95,-0.49,34.19,7.47,5,29,5.06,1.34,132,0.32,5.72,18.19,1.36,25.95
组合,4.24,-0.94,0.61,10.37,4.19,13,11,1.29,3.22,90,0.08,3.88,7.40,3.28,52.12
