tradeDate,TDREI,closeIndex,k,m,net_value,net_value1,opt_type,order,order1,p,rtn,rtn1,symbol,theta,type
2007-03-26,,,,,,,,,,,,,,,
2007-03-27,,,,,,,,,,,,,,,
2007-03-28,,,,,,,,,,,,,,,
2007-03-29,,,,,,,,,,,,,,,
2007-03-30,,,,,,,,,,,,,,,
2007-04-02,,,,,,,,,,,,,,,
2007-04-03,,,,,,,,,,,,,,,
2007-04-04,,,,,,,,,,,,,,,
2007-04-05,275.1592356687898,30245.0,,,0.999,0.999,,1.0,,,,-0.001,ZN,,
2007-04-06,,,,,,0.999,,,,,,,,,
2007-04-09,,,,,,0.999,,,,,,,,,
2007-04-10,,,,,,0.999,,,,,,,,,
2007-04-11,,,,,,0.999,,,,,,,,,
2007-04-12,,,,,,0.999,,,,,,,,,
2007-04-13,,,,,,0.999,,,,,,,,,
2007-04-16,,,,,,0.999,,,,,,,,,
2007-04-17,,,,,,0.999,,,,,,,,,
2007-04-18,,,,,,0.999,,,,,,,,,
2007-04-19,,,,,,0.999,,,,,,,,,
2007-04-20,,,,,,0.999,,,,,,,,,
2007-04-23,,,,,,0.999,,,,,,,,,
2007-04-24,,,,,,0.999,,,,,,,,,
2007-04-25,,,,,,0.999,,,,,,,,,
2007-04-26,,,,,,0.999,,,,,,,,,
2007-04-27,,,,,,0.999,,,,,,,,,
2007-04-30,-198.88059701492537,32700.0,,,1.0790902709538766,1.0790902709538766,,-1.0,1.0,,0.08117044139527185,0.08017044139527185,ZN,,
2007-05-08,,,,,,1.0790902709538766,,,,,,,,,
2007-05-09,,,,,,1.0790902709538766,,,,,,,,,
2007-05-10,,,,,,1.0790902709538766,,,,,,,,,
2007-05-11,,,,,,1.0790902709538766,,,,,,,,,
2007-05-14,,,,,,1.0790902709538766,,,,,,,,,
2007-05-15,,,,,,1.0790902709538766,,,,,,,,,
2007-05-16,,,,,,1.0790902709538766,,,,,,,,,
2007-05-17,,,,,,1.0790902709538766,,,,,,,,,
2007-05-18,,,,,,1.0790902709538766,,,,,,,,,
2007-05-21,,,,,,1.0790902709538766,,,,,,,,,
2007-05-22,,,,,,1.0790902709538766,,,,,,,,,
2007-05-23,,,,,,1.0790902709538766,,,,,,,,,
2007-05-24,,,,,,1.0790902709538766,,,,,,,,,
2007-05-25,,,,,,1.0790902709538766,,,,,,,,,
2007-05-28,,,,,,1.0790902709538766,,,,,,,,,
2007-05-29,,,,,,1.0790902709538766,,,,,,,,,
2007-05-30,,,,,,1.0790902709538766,,,,,,,,,
2007-05-31,,,,,,1.0790902709538766,,,,,,,,,
2007-06-01,,,,,,1.0790902709538766,,,,,,,,,
2007-06-04,,,,,,1.0790902709538766,,,,,,,,,
2007-06-05,,,,,,1.0790902709538766,,,,,,,,,
2007-06-06,,,,,,1.0790902709538766,,,,,,,,,
2007-06-07,,,,,,1.0790902709538766,,,,,,,,,
2007-06-08,,,,,,1.0790902709538766,,,,,,,,,
2007-06-11,,,,,,1.0790902709538766,,,,,,,,,
2007-06-12,,,,,,1.0790902709538766,,,,,,,,,
2007-06-13,,,,,,1.0790902709538766,,,,,,,,,
2007-06-14,,,,,,1.0790902709538766,,,,,,,,,
2007-06-15,,,,,,1.0790902709538766,,,,,,,,,
2007-06-18,,,,,,1.0790902709538766,,,,,,,,,
2007-06-19,,,,,,1.0790902709538766,,,,,,,,,
2007-06-20,,,,,,1.0790902709538766,,,,,,,,,
2007-06-21,,,,,,1.0790902709538766,,,,,,,,,
2007-06-22,,,,,,1.0790902709538766,,,,,,,,,
2007-06-25,,,,,,1.0790902709538766,,,,,,,,,
2007-06-26,,,,,,1.0790902709538766,,,,,,,,,
2007-06-27,,,,,,1.0790902709538766,,,,,,,,,
2007-06-28,,,,,,1.0790902709538766,,,,,,,,,
2007-06-29,,,,,,1.0790902709538766,,,,,,,,,
2007-07-02,,,,,,1.0790902709538766,,,,,,,,,
2007-07-03,183.69230769230768,27535.0,,,1.2484546439696742,1.2484546439696742,,1.0,-1.0,,-0.15795107033639144,0.15695107033639144,ZN,,
2007-07-04,,,,,,1.2484546439696742,,,,,,,,,
2007-07-05,,,,,,1.2484546439696742,,,,,,,,,
2007-07-06,,,,,,1.2484546439696742,,,,,,,,,
2007-07-09,,,,,,1.2484546439696742,,,,,,,,,
2007-07-10,,,,,,1.2484546439696742,,,,,,,,,
2007-07-11,,,,,,1.2484546439696742,,,,,,,,,
2007-07-12,,,,,,1.2484546439696742,,,,,,,,,
2007-07-13,,,,,,1.2484546439696742,,,,,,,,,
2007-07-16,,,,,,1.2484546439696742,,,,,,,,,
2007-07-17,,,,,,1.2484546439696742,,,,,,,,,
2007-07-18,,,,,,1.2484546439696742,,,,,,,,,
2007-07-19,,,,,,1.2484546439696742,,,,,,,,,
2007-07-20,,,,,,1.2484546439696742,,,,,,,,,
2007-07-23,,,,,,1.2484546439696742,,,,,,,,,
2007-07-24,,,,,,1.2484546439696742,,,,,,,,,
2007-07-25,,,,,,1.2484546439696742,,,,,,,,,
2007-07-26,,,,,,1.2484546439696742,,,,,,,,,
2007-07-27,-188.52459016393445,28275.0,,,1.2807582661928758,1.2807582661928758,,-1.0,1.0,,0.026874886508080564,0.025874886508080563,ZN,,
2007-07-30,,,,,,1.2807582661928758,,,,,,,,,
2007-07-31,,,,,,1.2807582661928758,,,,,,,,,
2007-08-01,,,,,,1.2807582661928758,,,,,,,,,
2007-08-02,,,,,,1.2807582661928758,,,,,,,,,
2007-08-03,,,,,,1.2807582661928758,,,,,,,,,
2007-08-06,,,,,,1.2807582661928758,,,,,,,,,
2007-08-07,,,,,,1.2807582661928758,,,,,,,,,
2007-08-08,,,,,,1.2807582661928758,,,,,,,,,
2007-08-09,,,,,,1.2807582661928758,,,,,,,,,
2007-08-10,,,,,,1.2807582661928758,,,,,,,,,
